unnecessary#a  necessary#a
large#a#1  flexible#a#5  13
large#a#7  flexible#a#3  9
large#a#5  flexible#a#3  8
large#a#5  flexible#a#5  8
large#a#2  flexible#a#5  7
large#a#7  flexible#a#5  6
large#a#1  flexible#a#4  6
large#a#3  flexible#a#3  6
large#a#7  flexible#a#1  5
large#a#7  flexible#a#2  5
large#a#2  flexible#a#3  5
large#a#5  flexible#a#2  4
large#a#4  flexible#a#3  4
large#a#3  flexible#a#5  4
large#a#3  flexible#a#2  4
large#a#4  flexible#a#5  3
large#a#3  flexible#a#1  3
large#a#5  flexible#a#1  3
large#a#6  flexible#a#5  3
large#a#4  flexible#a#4  3
large#a#6  flexible#a#3  3
large#a#4  flexible#a#2  2
large#a#2  flexible#a#4  2
large#a#6  flexible#a#4  2
large#a#2  flexible#a#2  2
large#a#6  flexible#a#2  2
large#a#7  flexible#a#4  2
large#a#5  flexible#a#4  2
large#a#2  flexible#a#1  2
large#a#6  flexible#a#1  1
large#a#4  flexible#a#1  1
large#a#3  flexible#a#4  1

dumb#a  rare#a
dumb#a  rare#a  (all senses)
dumb#a#1  rare#a#5  14
dumb#a#4  rare#a#5  7
dumb#a#3  rare#a#5  6
dumb#a#2  rare#a#5  6
dumb#a#3  rare#a#3  5
dumb#a#1  rare#a#4  3
dumb#a#4  rare#a#6  3
dumb#a#1  rare#a#3  3
dumb#a#4  rare#a#3  3
dumb#a#2  rare#a#3  3
dumb#a#1  rare#a#2  3
dumb#a#2  rare#a#6  2
dumb#a#4  rare#a#1  2
dumb#a#3  rare#a#4  2
dumb#a#3  rare#a#6  2
dumb#a#1  rare#a#6  2
dumb#a#3  rare#a#1  2
dumb#a#2  rare#a#1  2
dumb#a#1  rare#a#1  2
dumb#a#4  rare#a#4  1
dumb#a#2  rare#a#4  1
dumb#a#2  rare#a#2  1
dumb#a#3  rare#a#2  1
dumb#a#4  rare#a#2  1

modest#a  flexible#a
modest#a  flexible#a  (all senses)
modest#a#4  flexible#a#5  13
modest#a#4  flexible#a#3  11
modest#a#4  flexible#a#2  10
modest#a#5  flexible#a#5  9
modest#a#5  flexible#a#3  9
modest#a#1  flexible#a#3  8
modest#a#1  flexible#a#2  8
modest#a#6  flexible#a#5  8
modest#a#2  flexible#a#3  7
modest#a#4  flexible#a#1  7
modest#a#1  flexible#a#5  7
modest#a#7  flexible#a#5  6
modest#a#2  flexible#a#5  6
modest#a#5  flexible#a#2  6
modest#a#1  flexible#a#1  6
modest#a#6  flexible#a#2  5
modest#a#5  flexible#a#1  5
modest#a#6  flexible#a#3  5
modest#a#7  flexible#a#3  5
modest#a#2  flexible#a#2  4
modest#a#4  flexible#a#4  4
modest#a#3  flexible#a#5  4
modest#a#3  flexible#a#3  4
modest#a#1  flexible#a#4  3
modest#a#6  flexible#a#4  3
modest#a#2  flexible#a#1  3
modest#a#5  flexible#a#4  3
modest#a#6  flexible#a#1  3
modest#a#2  flexible#a#4  2
modest#a#7  flexible#a#1  2
modest#a#3  flexible#a#2  2
modest#a#7  flexible#a#2  2
modest#a#7  flexible#a#4  2
modest#a#3  flexible#a#4  2
modest#a#3  flexible#a#1  2

long#a  narrow#a
long#a  narrow#a  (all senses)
long#a#2  narrow#a#1  58
long#a#1  narrow#a#1  36
long#a#2  narrow#a#3  18
long#a#1  narrow#a#3  16
long#a#2  narrow#a#2  13
long#a#1  narrow#a#2  12
long#a#1  narrow#a#5  11
long#a#3  narrow#a#1  11
long#a#6  narrow#a#1  10
long#a#5  narrow#a#1  10
long#a#1  narrow#a#4  10
long#a#5  narrow#a#2  10
long#a#2  narrow#a#5  9
long#a#5  narrow#a#3  8
long#a#8  narrow#a#1  7
long#a#2  narrow#a#4  7
long#a#3  narrow#a#2  6
long#a#8  narrow#a#5  6
long#a#5  narrow#a#4  6
long#a#3  narrow#a#3  6
long#a#9  narrow#a#2  5
long#a#6  narrow#a#2  5
long#a#9  narrow#a#1  5
long#a#9  narrow#a#3  4
long#a#6  narrow#a#3  4
long#a#5  narrow#a#5  4
long#a#3  narrow#a#5  4
long#a#8  narrow#a#2  4
long#a#6  narrow#a#5  3
long#a#9  narrow#a#4  3
long#a#8  narrow#a#3  3
long#a#7  narrow#a#3  2
long#a#9  narrow#a#5  2
long#a#3  narrow#a#4  2
long#a#6  narrow#a#4  2
long#a#4  narrow#a#4  1
long#a#4  narrow#a#1  1
long#a#4  narrow#a#3  1
long#a#7  narrow#a#1  1
long#a#4  narrow#a#5  1
long#a#8  narrow#a#4  1
long#a#4  narrow#a#2  1
long#a#7  narrow#a#2  0
long#a#7  narrow#a#5  0
long#a#7  narrow#a#4  0

easy#a  tough#a
easy#a  tough#a  (all senses)
easy#a#1  tough#a#9  34
easy#a#1  tough#a#3  30
easy#a#1  tough#a#2  27
easy#a#1  tough#a#1  21
easy#a#3  tough#a#9  21
easy#a#9  tough#a#6  20
easy#a#1  tough#a#7  19
easy#a#1  tough#a#5  15
easy#a#3  tough#a#2  13
easy#a#3  tough#a#3  12
easy#a#2  tough#a#1  11
easy#a#3  tough#a#7  11
easy#a#1  tough#a#8  10
easy#a#1  tough#a#4  9
easy#a#2  tough#a#9  9
easy#a#5  tough#a#9  9
easy#a#3  tough#a#5  8
easy#a#3  tough#a#1  8
easy#a#5  tough#a#2  8
easy#a#3  tough#a#6  8
easy#a#5  tough#a#3  8
easy#a#2  tough#a#2  8
easy#a#8  tough#a#1  8
easy#a#2  tough#a#4  7
easy#a#11  tough#a#3  7
easy#a#1  tough#a#6  7
easy#a#3  tough#a#8  7
easy#a#2  tough#a#8  6
easy#a#2  tough#a#6  6
easy#a#2  tough#a#7  6
easy#a#9  tough#a#9  6
easy#a#5  tough#a#7  6
easy#a#9  tough#a#2  6
easy#a#11  tough#a#4  6
easy#a#10  tough#a#1  6
easy#a#5  tough#a#1  6
easy#a#6  tough#a#1  6
easy#a#11  tough#a#1  6
easy#a#12  tough#a#1  5
easy#a#11  tough#a#7  5
easy#a#5  tough#a#8  5
easy#a#12  tough#a#9  5
easy#a#10  tough#a#6  5
easy#a#5  tough#a#5  5
easy#a#8  tough#a#5  5
easy#a#8  tough#a#7  5
easy#a#2  tough#a#3  5
easy#a#7  tough#a#4  4
easy#a#2  tough#a#5  4
easy#a#7  tough#a#2  4
easy#a#12  tough#a#2  4
easy#a#7  tough#a#9  4
easy#a#6  tough#a#7  4
easy#a#10  tough#a#9  4
easy#a#8  tough#a#9  4
easy#a#8  tough#a#2  4
easy#a#7  tough#a#3  4
easy#a#10  tough#a#7  4
easy#a#5  tough#a#6  4
easy#a#5  tough#a#4  4
easy#a#6  tough#a#4  4
easy#a#6  tough#a#9  4
easy#a#11  tough#a#9  4
easy#a#6  tough#a#6  4
easy#a#11  tough#a#5  4
easy#a#6  tough#a#2  4
easy#a#6  tough#a#8  4
easy#a#3  tough#a#4  4
easy#a#8  tough#a#6  3
easy#a#11  tough#a#6  3
easy#a#7  tough#a#1  3
easy#a#12  tough#a#5  3
easy#a#8  tough#a#8  3
easy#a#9  tough#a#5  3
easy#a#8  tough#a#4  3
easy#a#11  tough#a#2  3
easy#a#12  tough#a#4  3
easy#a#10  tough#a#4  3
easy#a#7  tough#a#6  3
easy#a#12  tough#a#7  3
easy#a#9  tough#a#7  3
easy#a#10  tough#a#2  3
easy#a#9  tough#a#1  3
easy#a#9  tough#a#3  3
easy#a#10  tough#a#3  3
easy#a#12  tough#a#8  2
easy#a#10  tough#a#8  2
easy#a#4  tough#a#3  2
easy#a#7  tough#a#8  2
easy#a#12  tough#a#3  2
easy#a#9  tough#a#8  2
easy#a#12  tough#a#6  2
easy#a#11  tough#a#8  2
easy#a#9  tough#a#4  2
easy#a#6  tough#a#3  2
easy#a#8  tough#a#3  2
easy#a#6  tough#a#5  2
easy#a#7  tough#a#7  2
easy#a#4  tough#a#4  1
easy#a#10  tough#a#5  1
easy#a#4  tough#a#1  1
easy#a#7  tough#a#5  1
easy#a#4  tough#a#5  1
easy#a#4  tough#a#7  0
easy#a#4  tough#a#9  0
easy#a#4  tough#a#8  0
easy#a#4  tough#a#2  0
easy#a#4  tough#a#6  0

confident#a  sure#a
confident#a  sure#a  (all senses)
confident#a#2  sure#a#1  129
confident#a#1  sure#a#1  21
confident#a#3  sure#a#3  18
confident#a#1  sure#a#6  17
confident#a#2  sure#a#3  16
confident#a#1  sure#a#5  12
confident#a#1  sure#a#3  11
confident#a#2  sure#a#9  11
confident#a#3  sure#a#5  10
confident#a#3  sure#a#1  10
confident#a#3  sure#a#6  9
confident#a#2  sure#a#2  9
confident#a#3  sure#a#8  9
confident#a#3  sure#a#7  8
confident#a#1  sure#a#2  8
confident#a#3  sure#a#2  8
confident#a#2  sure#a#5  8
confident#a#1  sure#a#7  7
confident#a#3  sure#a#9  6
confident#a#1  sure#a#4  6
confident#a#2  sure#a#6  6
confident#a#1  sure#a#8  5
confident#a#2  sure#a#7  5
confident#a#1  sure#a#9  5
confident#a#3  sure#a#4  5
confident#a#2  sure#a#4  5
confident#a#2  sure#a#8  4

weird#a  normal#a
weird#a  normal#a  (all senses)
weird#a#2  normal#a#1  23
weird#a#1  normal#a#1  22
weird#a#2  normal#a#3  6
weird#a#1  normal#a#3  6
weird#a#2  normal#a#4  3
weird#a#1  normal#a#2  2
weird#a#1  normal#a#4  1
weird#a#2  normal#a#2  0

old#a  fresh#a
old#a  fresh#a  (all senses)
old#a#2  fresh#a#1  54
old#a#2  fresh#a#2  39
old#a#1  fresh#a#1  38
old#a#1  fresh#a#2  29
old#a#1  fresh#a#4  27
old#a#2  fresh#a#4  26
old#a#7  fresh#a#4  19
old#a#1  fresh#a#11  18
old#a#1  fresh#a#12  16
old#a#2  fresh#a#11  14
old#a#7  fresh#a#2  14
old#a#2  fresh#a#12  12
old#a#2  fresh#a#5  11
old#a#7  fresh#a#12  10
old#a#7  fresh#a#1  10
old#a#8  fresh#a#1  9
old#a#1  fresh#a#7  9
old#a#1  fresh#a#5  9
old#a#2  fresh#a#8  8
old#a#6  fresh#a#1  8
old#a#2  fresh#a#6  7
old#a#4  fresh#a#1  7
old#a#2  fresh#a#10  7
old#a#6  fresh#a#11  6
old#a#6  fresh#a#12  6
old#a#1  fresh#a#8  6
old#a#1  fresh#a#6  6
old#a#1  fresh#a#10  6
old#a#4  fresh#a#11  6
old#a#2  fresh#a#9  6
old#a#1  fresh#a#9  6
old#a#4  fresh#a#2  5
old#a#7  fresh#a#11  5
old#a#2  fresh#a#7  5
old#a#6  fresh#a#2  5
old#a#8  fresh#a#4  5
old#a#6  fresh#a#4  5
old#a#8  fresh#a#2  5
old#a#7  fresh#a#7  4
old#a#8  fresh#a#5  4
old#a#4  fresh#a#12  4
old#a#6  fresh#a#5  4
old#a#3  fresh#a#12  4
old#a#8  fresh#a#12  4
old#a#3  fresh#a#1  4
old#a#8  fresh#a#11  4
old#a#7  fresh#a#10  4
old#a#7  fresh#a#5  4
old#a#7  fresh#a#6  4
old#a#5  fresh#a#4  3
old#a#8  fresh#a#7  3
old#a#3  fresh#a#11  3
old#a#4  fresh#a#4  3
old#a#4  fresh#a#7  3
old#a#6  fresh#a#9  3
old#a#4  fresh#a#5  2
old#a#4  fresh#a#9  2
old#a#3  fresh#a#2  2
old#a#2  fresh#a#3  2
old#a#8  fresh#a#9  2
old#a#5  fresh#a#12  2
old#a#3  fresh#a#5  2
old#a#5  fresh#a#7  2
old#a#6  fresh#a#6  2
old#a#1  fresh#a#3  2
old#a#6  fresh#a#8  2
old#a#8  fresh#a#6  2
old#a#8  fresh#a#8  2
old#a#5  fresh#a#1  2
old#a#6  fresh#a#7  2
old#a#4  fresh#a#6  1
old#a#4  fresh#a#3  1
old#a#5  fresh#a#3  1
old#a#3  fresh#a#6  1
old#a#3  fresh#a#7  1
old#a#5  fresh#a#11  1
old#a#4  fresh#a#10  1
old#a#7  fresh#a#3  1
old#a#3  fresh#a#4  1
old#a#3  fresh#a#9  1
old#a#7  fresh#a#8  1
old#a#3  fresh#a#8  1
old#a#4  fresh#a#8  1
old#a#7  fresh#a#9  1
old#a#5  fresh#a#6  1
old#a#5  fresh#a#2  1
old#a#8  fresh#a#3  1
old#a#5  fresh#a#9  0
old#a#6  fresh#a#3  0
old#a#8  fresh#a#10  0
old#a#5  fresh#a#8  0
old#a#6  fresh#a#10  0
old#a#3  fresh#a#3  0
old#a#3  fresh#a#10  0
old#a#5  fresh#a#10  0
old#a#5  fresh#a#5  0

tiny#a  huge#a
tiny#a  huge#a  (all senses)
tiny#a#1  huge#a#1  65

smart#a  dumb#a
smart#a  dumb#a  (all senses)
smart#a#4  dumb#a#1  11
smart#a#4  dumb#a#3  7
smart#a#6  dumb#a#1  7
smart#a#4  dumb#a#2  7
smart#a#4  dumb#a#4  7
smart#a#1  dumb#a#1  6
smart#a#3  dumb#a#1  5
smart#a#7  dumb#a#3  5
smart#a#5  dumb#a#1  5
smart#a#6  dumb#a#4  4
smart#a#6  dumb#a#2  4
smart#a#7  dumb#a#2  4
smart#a#6  dumb#a#3  4
smart#a#1  dumb#a#4  4
smart#a#7  dumb#a#4  4
smart#a#1  dumb#a#3  4
smart#a#2  dumb#a#2  3
smart#a#3  dumb#a#3  3
smart#a#2  dumb#a#3  3
smart#a#2  dumb#a#4  3
smart#a#7  dumb#a#1  2
smart#a#3  dumb#a#4  2
smart#a#1  dumb#a#2  2
smart#a#5  dumb#a#4  2
smart#a#5  dumb#a#3  2
smart#a#2  dumb#a#1  2
smart#a#5  dumb#a#2  1
smart#a#3  dumb#a#2  1

strong#a  proud#a
strong#a  proud#a  (all senses)
strong#a#1  proud#a#1  71
strong#a#1  proud#a#2  23
strong#a#4  proud#a#1  22
strong#a#3  proud#a#1  19
strong#a#7  proud#a#1  17
strong#a#8  proud#a#1  16
strong#a#4  proud#a#2  15
strong#a#10  proud#a#1  15
strong#a#6  proud#a#1  14
strong#a#5  proud#a#1  13
strong#a#2  proud#a#1  12
strong#a#3  proud#a#2  11
strong#a#2  proud#a#2  9
strong#a#9  proud#a#1  8
strong#a#7  proud#a#2  7
strong#a#8  proud#a#2  5
strong#a#10  proud#a#2  5
strong#a#9  proud#a#2  5
strong#a#6  proud#a#2  4
strong#a#5  proud#a#2  1

huge#a  dumb#a
huge#a  dumb#a  (all senses)
huge#a#1  dumb#a#1  9
huge#a#1  dumb#a#3  6
huge#a#1  dumb#a#2  5
huge#a#1  dumb#a#4  5

dirty#a  cheap#a
dirty#a  cheap#a  (all senses)
dirty#a#1  cheap#a#1  17
dirty#a#2  cheap#a#1  9
dirty#a#1  cheap#a#3  6
dirty#a#2  cheap#a#3  6
dirty#a#12  cheap#a#1  5
dirty#a#8  cheap#a#1  5
dirty#a#1  cheap#a#2  5
dirty#a#2  cheap#a#2  5
dirty#a#10  cheap#a#2  4
dirty#a#10  cheap#a#1  4
dirty#a#7  cheap#a#1  4
dirty#a#9  cheap#a#1  4
dirty#a#7  cheap#a#3  4
dirty#a#3  cheap#a#1  4
dirty#a#6  cheap#a#1  3
dirty#a#6  cheap#a#3  3
dirty#a#11  cheap#a#1  3
dirty#a#3  cheap#a#3  3
dirty#a#4  cheap#a#1  3
dirty#a#3  cheap#a#2  3
dirty#a#11  cheap#a#2  3
dirty#a#12  cheap#a#3  3
dirty#a#8  cheap#a#3  2
dirty#a#2  cheap#a#4  2
dirty#a#6  cheap#a#2  2
dirty#a#10  cheap#a#3  2
dirty#a#4  cheap#a#2  2
dirty#a#8  cheap#a#2  2
dirty#a#4  cheap#a#3  2
dirty#a#9  cheap#a#2  2
dirty#a#5  cheap#a#1  2
dirty#a#9  cheap#a#3  2
dirty#a#1  cheap#a#4  1
dirty#a#5  cheap#a#3  1
dirty#a#5  cheap#a#2  1
dirty#a#7  cheap#a#2  1
dirty#a#12  cheap#a#2  1
dirty#a#11  cheap#a#3  1
dirty#a#3  cheap#a#4  0
dirty#a#5  cheap#a#4  0
dirty#a#11  cheap#a#4  0
dirty#a#7  cheap#a#4  0
dirty#a#10  cheap#a#4  0
dirty#a#12  cheap#a#4  0
dirty#a#9  cheap#a#4  0
dirty#a#8  cheap#a#4  0
dirty#a#4  cheap#a#4  0
dirty#a#6  cheap#a#4  0

large#a  huge#a
large#a  huge#a  (all senses)
large#a#1  huge#a#1  372
large#a#2  huge#a#1  12
large#a#5  huge#a#1  10
large#a#7  huge#a#1  8
large#a#6  huge#a#1  5
large#a#4  huge#a#1  4
large#a#3  huge#a#1  3

honest#a  guilty#a
honest#a  guilty#a  (all senses)
honest#a#3  guilty#a#1  9
honest#a#3  guilty#a#2  8
honest#a#7  guilty#a#1  8
honest#a#1  guilty#a#1  7
honest#a#5  guilty#a#1  6
honest#a#6  guilty#a#1  5
honest#a#6  guilty#a#2  3
honest#a#7  guilty#a#2  2
honest#a#1  guilty#a#2  2
honest#a#4  guilty#a#1  2
honest#a#5  guilty#a#2  1
honest#a#4  guilty#a#2  1
honest#a#2  guilty#a#1  1
honest#a#2  guilty#a#2  0

bad#a  great#a
bad#a  great#a  (all senses)
bad#a#1  great#a#3  37
bad#a#1  great#a#1  36
bad#a#1  great#a#2  21
bad#a#1  great#a#4  17
bad#a#1  great#a#6  16
bad#a#5  great#a#3  13
bad#a#1  great#a#5  12
bad#a#7  great#a#1  12
bad#a#2  great#a#3  11
bad#a#5  great#a#1  11
bad#a#4  great#a#2  10
bad#a#10  great#a#1  10
bad#a#10  great#a#3  9
bad#a#5  great#a#2  9
bad#a#4  great#a#3  9
bad#a#4  great#a#1  9
bad#a#2  great#a#4  9
bad#a#2  great#a#1  9
bad#a#7  great#a#3  9
bad#a#4  great#a#6  8
bad#a#5  great#a#4  8
bad#a#6  great#a#2  7
bad#a#11  great#a#2  7
bad#a#7  great#a#2  7
bad#a#10  great#a#6  7
bad#a#3  great#a#3  6
bad#a#3  great#a#2  6
bad#a#8  great#a#5  6
bad#a#2  great#a#6  6
bad#a#10  great#a#4  5
bad#a#3  great#a#4  5
bad#a#12  great#a#3  5
bad#a#10  great#a#2  5
bad#a#14  great#a#1  5
bad#a#2  great#a#5  5
bad#a#12  great#a#2  5
bad#a#3  great#a#1  5
bad#a#6  great#a#3  5
bad#a#12  great#a#1  5
bad#a#7  great#a#5  5
bad#a#6  great#a#1  5
bad#a#7  great#a#4  4
bad#a#8  great#a#6  4
bad#a#14  great#a#3  4
bad#a#2  great#a#2  4
bad#a#12  great#a#4  4
bad#a#4  great#a#5  4
bad#a#7  great#a#6  4
bad#a#11  great#a#1  4
bad#a#11  great#a#3  4
bad#a#9  great#a#1  3
bad#a#6  great#a#6  3
bad#a#3  great#a#6  3
bad#a#4  great#a#4  3
bad#a#9  great#a#2  3
bad#a#14  great#a#2  3
bad#a#11  great#a#6  3
bad#a#10  great#a#5  3
bad#a#14  great#a#4  3
bad#a#6  great#a#4  3
bad#a#5  great#a#6  3
bad#a#14  great#a#5  3
bad#a#9  great#a#3  3
bad#a#5  great#a#5  3
bad#a#12  great#a#6  2
bad#a#14  great#a#6  2
bad#a#11  great#a#5  2
bad#a#13  great#a#4  2
bad#a#13  great#a#1  2
bad#a#11  great#a#4  2
bad#a#8  great#a#3  2
bad#a#13  great#a#5  2
bad#a#6  great#a#5  2
bad#a#13  great#a#3  2
bad#a#8  great#a#2  2
bad#a#9  great#a#4  2
bad#a#12  great#a#5  1
bad#a#9  great#a#5  1
bad#a#3  great#a#5  1
bad#a#8  great#a#1  1
bad#a#9  great#a#6  1
bad#a#8  great#a#4  1
bad#a#13  great#a#2  1
bad#a#13  great#a#6  0

bold#a  proud#a
bold#a  proud#a  (all senses)
bold#a#1  proud#a#1  92
bold#a#1  proud#a#2  20
bold#a#3  proud#a#1  14
bold#a#2  proud#a#1  11
bold#a#3  proud#a#2  6
bold#a#2  proud#a#2  3

difficult#a  simple#a
difficult#a  simple#a  (all senses)
difficult#a#1  simple#a#1  54
difficult#a#1  simple#a#6  34
difficult#a#2  simple#a#1  22
difficult#a#1  simple#a#2  18
difficult#a#2  simple#a#6  17
difficult#a#1  simple#a#5  11
difficult#a#1  simple#a#3  8
difficult#a#1  simple#a#4  8
difficult#a#1  simple#a#7  7
difficult#a#2  simple#a#2  6
difficult#a#2  simple#a#3  5
difficult#a#2  simple#a#4  5
difficult#a#2  simple#a#7  5
difficult#a#2  simple#a#5  4

fresh#a  wide#a
fresh#a  wide#a  (all senses)
fresh#a#1  wide#a#1  28
fresh#a#4  wide#a#1  19
fresh#a#2  wide#a#1  18
fresh#a#12  wide#a#3  14
fresh#a#11  wide#a#1  14
fresh#a#12  wide#a#1  12
fresh#a#1  wide#a#3  12
fresh#a#1  wide#a#4  12
fresh#a#2  wide#a#4  9
fresh#a#1  wide#a#2  9
fresh#a#12  wide#a#2  8
fresh#a#2  wide#a#3  8
fresh#a#4  wide#a#4  8
fresh#a#4  wide#a#3  7
fresh#a#2  wide#a#2  7
fresh#a#11  wide#a#2  7
fresh#a#1  wide#a#7  7
fresh#a#1  wide#a#6  7
fresh#a#12  wide#a#4  7
fresh#a#11  wide#a#4  7
fresh#a#7  wide#a#1  7
fresh#a#4  wide#a#7  7
fresh#a#11  wide#a#3  7
fresh#a#2  wide#a#6  6
fresh#a#5  wide#a#1  6
fresh#a#4  wide#a#2  6
fresh#a#11  wide#a#6  5
fresh#a#4  wide#a#6  5
fresh#a#10  wide#a#1  5
fresh#a#2  wide#a#7  5
fresh#a#11  wide#a#7  4
fresh#a#5  wide#a#3  4
fresh#a#12  wide#a#6  4
fresh#a#6  wide#a#3  4
fresh#a#9  wide#a#7  4
fresh#a#5  wide#a#7  4
fresh#a#5  wide#a#4  4
fresh#a#8  wide#a#1  4
fresh#a#6  wide#a#1  4
fresh#a#9  wide#a#1  4
fresh#a#5  wide#a#2  4
fresh#a#6  wide#a#7  3
fresh#a#7  wide#a#6  3
fresh#a#8  wide#a#2  3
fresh#a#6  wide#a#2  3
fresh#a#7  wide#a#4  3
fresh#a#8  wide#a#3  3
fresh#a#7  wide#a#2  2
fresh#a#4  wide#a#5  2
fresh#a#9  wide#a#3  2
fresh#a#8  wide#a#4  2
fresh#a#12  wide#a#7  2
fresh#a#2  wide#a#5  2
fresh#a#9  wide#a#6  2
fresh#a#9  wide#a#4  2
fresh#a#5  wide#a#6  2
fresh#a#8  wide#a#7  2
fresh#a#7  wide#a#3  2
fresh#a#6  wide#a#4  2
fresh#a#9  wide#a#2  2
fresh#a#10  wide#a#3  2
fresh#a#3  wide#a#4  1
fresh#a#3  wide#a#1  1
fresh#a#3  wide#a#7  1
fresh#a#7  wide#a#7  1
fresh#a#11  wide#a#5  1
fresh#a#12  wide#a#5  1
fresh#a#8  wide#a#6  1
fresh#a#1  wide#a#5  1
fresh#a#6  wide#a#6  1
fresh#a#3  wide#a#6  1
fresh#a#3  wide#a#5  0
fresh#a#10  wide#a#7  0
fresh#a#3  wide#a#2  0
fresh#a#8  wide#a#5  0
fresh#a#10  wide#a#5  0
fresh#a#5  wide#a#5  0
fresh#a#10  wide#a#2  0
fresh#a#6  wide#a#5  0
fresh#a#10  wide#a#4  0
fresh#a#7  wide#a#5  0
fresh#a#10  wide#a#6  0
fresh#a#9  wide#a#5  0
fresh#a#3  wide#a#3  0

noticeable#a  obvious#a
noticeable#a  obvious#a  (all senses)
noticeable#a#1  obvious#a#1  128
noticeable#a#2  obvious#a#1  51
noticeable#a#4  obvious#a#1  4
noticeable#a#3  obvious#a#1  2

scarce#a  rare#a
scarce#a  rare#a  (all senses)
scarce#a#1  rare#a#3  99
scarce#a#1  rare#a#1  19
scarce#a#1  rare#a#5  11
scarce#a#1  rare#a#4  8
scarce#a#1  rare#a#2  4
scarce#a#1  rare#a#6  3

bad#a  immoral#a
bad#a  immoral#a  (all senses)
bad#a#1  immoral#a#1  65
bad#a#12  immoral#a#1  25
bad#a#1  immoral#a#2  20
bad#a#10  immoral#a#1  11
bad#a#4  immoral#a#1  10
bad#a#5  immoral#a#1  9
bad#a#4  immoral#a#2  9
bad#a#7  immoral#a#1  8
bad#a#3  immoral#a#1  7
bad#a#5  immoral#a#2  7
bad#a#10  immoral#a#2  7
bad#a#2  immoral#a#2  7
bad#a#14  immoral#a#2  7
bad#a#9  immoral#a#2  6
bad#a#7  immoral#a#2  6
bad#a#12  immoral#a#2  6
bad#a#3  immoral#a#2  6
bad#a#6  immoral#a#2  6
bad#a#14  immoral#a#1  6
bad#a#11  immoral#a#1  5
bad#a#9  immoral#a#1  5
bad#a#6  immoral#a#1  5
bad#a#2  immoral#a#1  4
bad#a#8  immoral#a#1  4
bad#a#11  immoral#a#2  4
bad#a#8  immoral#a#2  3
bad#a#13  immoral#a#2  2
